year,month,COUNTRY,est,se,iso3
2021,4,Afghanistan,0,0.0159529509757655,AFG
2021,4,Albania,0,0,ALB
2021,4,Algeria,0,0,DZA
2021,4,Argentina,0.00165180046250413,1,ARG
2021,4,Austria,0.000330360092500826,1,AUT
2021,4,Azerbaijan,0,0.0940000324372037,AZE
2021,4,Bangladesh,0.000165180046250413,0,BGD
2021,4,Belgium,0,0,BEL
2021,4,Bolivia,0.000330360092500826,6.66133814775094E-16,BOL
2021,4,Botswana,0,0.169764093804598,BWA
2021,4,Brazil,0.000330360092500826,0,BRA
2021,4,Bulgaria,0,0.306591444912143,BGR
2021,4,Burkina Faso,0,0.306594187249933,BFA
2021,4,Cambodia,0,0.0520485900444316,KHM
2021,4,Chile,0,3.50462907583449E-08,CHL
2021,4,China,0.000330360092500826,1,CHN
2021,4,Colombia,0,0,COL
2021,4,Costa Rica,0.000330360092500826,1,CRI
2021,4,Côte d'Ivoire,0,0.00270906060537879,CIV
2021,4,Croatia,0,5.95268900838164E-09,HRV
2021,4,Cuba,0,0.169760271100344,CUB
2021,4,Czechia,0,0.0940000324372037,CZE
2021,4,Democratic Republic of the Congo,0,0.00270878620992421,COD
2021,4,Dominican Republic,0,2.78155276589587E-12,DOM
2021,4,Ecuador,0.000330360092500826,1,ECU
2021,4,Egypt,0.000660720185001652,1,EGY
2021,4,El Salvador,0,0.00222459681830278,SLV
2021,4,Ethiopia,0,7.80748734950931E-05,ETH
2021,4,France,0,7.75163689132885E-05,FRA
2021,4,Georgia,0,0.169751810160763,GEO
2021,4,Germany,0.00016518004827297,2.44891191769625E-08,DEU
2021,4,Ghana,0,0.169763930668093,GHA
2021,4,Greece,0,0.00459681181713678,GRC
2021,4,Guadeloupe,0,0.0940000232032606,GLP
2021,4,Guatemala,0,2.59459120854899E-13,GTM
2021,4,Haiti,0,0.00270889294659138,HTI
2021,4,Honduras,0,0.00873799938822817,HND
2021,4,Hungary,0.00165180046250413,1,HUN
2021,4,India,0.0125536835150314,1,IND
2021,4,Indonesia,0.000991080277502478,1,IDN
2021,4,Iran,0.00165180046250413,1,IRN
2021,4,Iraq,0.000165180046335879,1.03481834212715E-09,IRQ
2021,4,Italy,0.00429468120251074,1,ITA
2021,4,Japan,0,0,JPN
2021,4,Jordan,0,5.30304689050354E-11,JOR
2021,4,Kenya,0,0.0281932193422086,KEN
2021,4,Laos,0,0.00150003141386634,LAO
2021,4,Latvia,0,0.550148847611596,LVA
2021,4,Lithuania,0,0.306594232597887,LTU
2021,4,Luxembourg,0.000330360092500826,1,LUX
2021,4,Madagascar,0,0.000713135077126337,MDG
2021,4,Malaysia,0,5.72912717267116E-10,MYS
2021,4,Mauritania,0.00019508617317107,0.306594018781972,MRT
2021,4,Mexico,0.00330360092500826,1,MEX
2021,4,Morocco,0,0,MAR
2021,4,Mozambique,0,0.20165607868794,MOZ
2021,4,Myanmar,0,0.553709533270251,MMR
2021,4,Nepal,0,1.09825205596437E-08,NPL
2021,4,Netherlands,0.0013214403700033,1,NLD
2021,4,New Zealand,0,0.553709533270251,NZL
2021,4,Nicaragua,0,0,NIC
2021,4,Nigeria,0.000330360092500826,1,NGA
2021,4,Norway,0,0.0768310832213253,NOR
2021,4,Oman,0,0.052048348919406,OMN
2021,4,Pakistan,0,1.11022302462516E-16,PAK
2021,4,Palestine,0,0.00025190255680918,PSE
2021,4,Panama,0,0.0939995141319005,PAN
2021,4,Paraguay,0.000330360092500826,1,PRY
2021,4,Peru,0.00165180046250413,1,PER
2021,4,Philippines,0,4.08862858014558E-08,PHL
2021,4,Poland,0.000330436070019019,0.00045986213422955,POL
2021,4,Portugal,0.000991080277502478,1,PRT
2021,4,Romania,0,0.0520484963096536,ROU
2021,4,Russia,0,0,RUS
2021,4,Rwanda,0,0.0519377214224515,RWA
2021,4,Saudi Arabia,0.000330360092500826,0,SAU
2021,4,Senegal,0,0.000327352699499017,SEN
2021,4,Serbia,0,0,SRB
2021,4,Slovenia,0,0.553709533270251,SVN
2021,4,Somalia,0,0.000157842044973489,SOM
2021,4,South Africa,0.000330360092500826,1,ZAF
2021,4,South Korea,0,6.69204955117131E-07,KOR
2021,4,South Sudan,0,2.84110095665202E-05,SSD
2021,4,Spain,0.0191608853650479,1,ESP
2021,4,Sri Lanka,0,0.000459891107112531,LKA
2021,4,Sudan,0,0.169759614304663,SDN
2021,4,Suriname,0,0.0520486817515752,SUR
2021,4,Sweden,0,0.0939999499967336,SWE
2021,4,Syria,0,0.00083056730090636,SYR
2021,4,Taiwan,0.000330360092500826,1,TWN
2021,4,Tajikistan,0,0.00144472037045806,TJK
2021,4,Tanzania,0,0.0926322616315047,TZA
2021,4,Thailand,0.000495540138751239,0,THA
2021,4,Togo,0,0.0183674037107278,TGO
2021,4,Tunisia,0.000330360092500826,1,TUN
2021,4,Turkey,0.000660720185001652,1,TUR
2021,4,Uganda,0,0.000459901124473694,UGA
2021,4,Ukraine,0,0.00489255959479651,UKR
2021,4,United Arab Emirates,0.000330360092500826,1,ARE
2021,4,United Kingdom,0,0.553709533270251,GBR
2021,4,United States,0.000330360092500826,1,USA
2021,4,Uruguay,0,2.11467213406813E-07,URY
2021,4,Uzbekistan,0,0.00270311849078309,UZB
2021,4,Venezuela,0,0.0939999829771354,VEN
2021,4,Vietnam,0.000660720185001652,1,VNM
2021,4,Zimbabwe,0,0.553709533270251,ZWE
