year,month,COUNTRY,est,se
2014,09,Argentina,0,2.4187777748152506e-5
2014,09,Austria,0,0.14389676169099108
2014,09,Azerbaijan,0,0.3065942472343597
2014,09,Belgium,0,0.47134648046083605
2014,09,Canada,0,1.777659908164253e-9
2014,09,Chile,0,2.13603285459385e-6
2014,09,Colombia,0,0
2014,09,Croatia,0,0.1852893274485341
2014,09,Dominican Republic,0,0.0029051582599626258
2014,09,El Salvador,0,0
2014,09,France,0,0
2014,09,Germany,0,0
2014,09,Guatemala,0,0
2014,09,India,0,0.5537095332702514
2014,09,Ireland,0,0.1088312886306223
2014,09,Italy,0,0
2014,09,Japan,0,1.2712178233842408e-5
2014,09,Malta,0,0.004985106131242367
2014,09,Mexico,0,0
2014,09,Morocco,0,0
2014,09,Netherlands,0,8.624454770076451e-4
2014,09,Paraguay,0,0.1697604053820143
2014,09,Peru,0,2.8687344721944896e-9
2014,09,Portugal,0,0.06959305899962576
2014,09,Russia,0,0.14663668592181744
2014,09,Serbia,0,1.1102230246251565e-16
2014,09,Spain,0,0
2014,09,Sri Lanka,0,2.601672197788396e-6
2014,09,Sweden,0,1.99318639371171e-9
2014,09,Switzerland,0,0.5537095332702514
2014,09,Turkey,0,1.690002027210369e-8
2014,09,Ukraine,0,0.16967236955944642
2014,09,United Kingdom,0,0
2014,09,United States,0,8.881784197001252e-16
2014,09,Venezuela,0,0.5089880583395883
