year,month,COUNTRY,est,se
2015,02,Algeria,0,0.539011681470431
2015,02,Argentina,0,3.83026943495679e-14
2015,02,Austria,0,0
2015,02,Brazil,0,1.9542423235208162e-10
2015,02,Chile,0,0
2015,02,Colombia,0,0.00854574730080404
2015,02,Croatia,0,7.132765582746892e-4
2015,02,Ecuador,0,0.014424930383011847
2015,02,France,0,0
2015,02,Germany,0,3.7247982476174e-13
2015,02,Guatemala,0,0
2015,02,Indonesia,0,0
2015,02,Italy,0,0
2015,02,Jordan,0,6.195266439856795e-7
2015,02,Mexico,0,3.388321241359904e-7
2015,02,Morocco,0,0
2015,02,Netherlands,0,0
2015,02,New Zealand,0,0
2015,02,Nicaragua,0,0
2015,02,Saudi Arabia,0,1.8468841269203562e-4
2015,02,Spain,0,0
2015,02,Sweden,0,0
2015,02,Switzerland,0,0.025281005018762515
2015,02,United Kingdom,0,0
2015,02,United States,0,0
