year,month,COUNTRY,est,se
2021,06,Afghanistan,0,0.5537095332702514
2021,06,Åland,0,0.5537095332702514
2021,06,Albania,6.607201850016518e-4,1
2021,06,Algeria,0.004294681202510736,1
2021,06,Argentina,0,2.3130926285475084e-8
2021,06,Australia,0,0.5537095332702514
2021,06,Austria,0.004955401387512388,1
2021,06,Azerbaijan,0.003964321110009911,1
2021,06,Bangladesh,3.303600925008259e-4,1
2021,06,Belarus,3.303600925008259e-4,0
2021,06,Belgium,0.0016518004625041295,1
2021,06,Bolivia,1.6518555870857605e-4,6.674261607619858e-5
2021,06,Bosnia and Herzegovina,0.0016518004625041295,1
2021,06,Brazil,0.0019821605550049554,1
2021,06,Brunei,0,0.3065942472343597
2021,06,Bulgaria,0.00958044268252395,1
2021,06,Burundi,0,0.001498590514641518
2021,06,Cambodia,0,8.267081272707033e-4
2021,06,Canada,0,4.9960036108132044e-14
2021,06,Chile,0,1.7914915936401155e-4
2021,06,China,0,3.373293311348391e-9
2021,06,Colombia,0.0023125206475057814,1
2021,06,Costa Rica,0,8.848477506262498e-14
2021,06,Côte d'Ivoire,0,0.015957502776519528
2021,06,Croatia,0.005946481665014866,1
2021,06,Cuba,0,2.5303077897298465e-4
2021,06,Czechia,9.910802775024777e-4,1
2021,06,Democratic Republic of the Congo,0,0.0027085244699341926
2021,06,Denmark,0,0.5537095332702514
2021,06,Dominican Republic,1.6518004625041294e-4,0
2021,06,Ecuador,3.303600925008259e-4,1
2021,06,Egypt,0.0013214403700033035,1
2021,06,El Salvador,3.303600925008259e-4,1
2021,06,Equatorial Guinea,0,0.3045395653053391
2021,06,Estonia,0.0013214403700033035,1
2021,06,Ethiopia,0,1.6111223466452884e-11
2021,06,Finland,9.910802775024777e-4,0
2021,06,France,0.005285761480013214,1
2021,06,Gabon,0,0.028751145043961368
2021,06,Georgia,3.303600925008259e-4,1
2021,06,Germany,0.003303600925008259,1
2021,06,Ghana,0,1.4095305911909772e-4
2021,06,Greece,0.0013214403700033035,1
2021,06,Guatemala,6.607201850016518e-4,1
2021,06,Guinea,0,0.16976414838573373
2021,06,Guyana,0,0.16976405878263712
2021,06,Haiti,0,0.0015000153305596564
2021,06,Honduras,0,7.338987517924167e-6
2021,06,Hungary,0.057813016187644534,1
2021,06,India,0.010901883052527254,1
2021,06,Indonesia,0.0016518004625041295,1
2021,06,Iran,0.002973240832507433,1
2021,06,Iraq,3.303600925008259e-4,1
2021,06,Ireland,0,0.16976346892007588
2021,06,Italy,0.23158242484307895,1
2021,06,Japan,0,0
2021,06,Jordan,0.0013214403700033035,1
2021,06,Kazakhstan,0,0
2021,06,Kosovo,0,0.09400001399732028
2021,06,Kyrgyzstan,6.607201850016518e-4,1
2021,06,Laos,0,7.210962826853518e-8
2021,06,Latvia,9.910802775024777e-4,1
2021,06,Lebanon,1.6518024456433706e-4,2.401182110256528e-6
2021,06,Lithuania,0.0019821605550049554,1
2021,06,Luxembourg,0,0.5537095332702514
2021,06,Madagascar,0,0.30659183665422196
2021,06,Malaysia,0,1.6235547795062644e-8
2021,06,Mali,0,0.008835992420267003
2021,06,Malta,0,0
2021,06,Martinique,0,0.1697640933367961
2021,06,Mauritania,0,7.118983872334006e-5
2021,06,Mexico,0.004294681202510736,1
2021,06,Mongolia,0,0.02856033674122993
2021,06,Morocco,0.0013214403700033035,1
2021,06,Myanmar,0,3.8195846041588766e-7
2021,06,Nepal,0,2.959277267677862e-11
2021,06,Netherlands,0.004955401387512388,1
2021,06,Nicaragua,3.303600925008259e-4,1
2021,06,Nigeria,1.651801478930585e-4,1.2306883951929137e-6
2021,06,Norway,3.303600925008259e-4,1
2021,06,Pakistan,6.607201850016518e-4,1
2021,06,Palestine,3.303600925008259e-4,1
2021,06,Panama,0,2.0899949515484906e-7
2021,06,Papua New Guinea,0,1.1170854752329262e-7
2021,06,Paraguay,0,0.0027090656306031358
2021,06,Peru,6.607201850016518e-4,1
2021,06,Philippines,0,7.337532763829202e-6
2021,06,Poland,0.0056161215725140405,1
2021,06,Portugal,0.002642880740006607,1
2021,06,Republic of the Congo,0,0.1697639985246997
2021,06,Réunion,0,0.5537095332702514
2021,06,Romania,0.004625041295011563,1
2021,06,Russia,0.017839444995044598,1
2021,06,Rwanda,0,0.16976415753948138
2021,06,Saudi Arabia,6.607201850016518e-4,1
2021,06,Senegal,0,0.004892251550065119
2021,06,Serbia,0.012223323422530559,1
2021,06,Sierra Leone,0,0.004890834149607226
