year,month,COUNTRY,est,se,iso3
2019,6,Algeria,0,0.0939517746170699,DZA
2019,6,Argentina,0,0,ARG
2019,6,Austria,0,0,AUT
2019,6,Bangladesh,0,0.00247024235520477,BGD
2019,6,Belgium,0,0,BEL
2019,6,Brazil,0,0,BRA
2019,6,Bulgaria,0,0.000211476438630842,BGR
2019,6,Chile,0,0,CHL
2019,6,China,0,0,CHN
2019,6,Colombia,0,0,COL
2019,6,Czechia,0,0,CZE
2019,6,Denmark,0,0.283656440426169,DNK
2019,6,Ecuador,0,0,ECU
2019,6,Egypt,0,5.41446742663432E-07,EGY
2019,6,France,0,0,FRA
2019,6,Germany,0,0,DEU
2019,6,Greece,0,0,GRC
2019,6,Hungary,0,0,HUN
2019,6,India,0,0,IND
2019,6,Indonesia,0,1.93871807496748E-10,IDN
2019,6,Iran,0,0.0131866378851978,IRN
2019,6,Ireland,0,0,IRL
2019,6,Italy,0,0,ITA
2019,6,Japan,0,0.0097461823268673,JPN
2019,6,Kosovo,0,0.0928069757204725,SRB
2019,6,Lithuania,0,0,LTU
2019,6,Luxembourg,0,0.0862982007473804,LUX
2019,6,Mexico,0,0,MEX
2019,6,Morocco,0,1.41331391034782E-13,MAR
2019,6,Myanmar,0,0.152892514746294,MMR
2019,6,Netherlands,0,0,NLD
2019,6,Norway,0,0,NOR
2019,6,Pakistan,0,0,PAK
2019,6,Palestine,0,1.88013815727306E-06,PSE
2019,6,Peru,0,0,PER
2019,6,Poland,0,1.59661490695129E-08,POL
2019,6,Portugal,0,0,PRT
2019,6,Romania,0,0.30659424723436,ROU
2019,6,Russia,0,0,RUS
2019,6,Saudi Arabia,0,3.81916720471054E-14,SAU
2019,6,Serbia,0,0,SRB
2019,6,Slovakia,0,0.05171885165589,SVK
2019,6,South Africa,0,0,ZAF
2019,6,South Sudan,0,3.24559652175038E-05,SSD
2019,6,Spain,0,0,ESP
2019,6,Sri Lanka,0,0,LKA
2019,6,Switzerland,0,0,CHE
2019,6,Thailand,0,0,THA
2019,6,United Arab Emirates,0,0.305767654303755,ARE
2019,6,United Kingdom,0,0,GBR
2019,6,United States,0,0,USA
2019,6,Vietnam,0,0.306350992987732,VNM
