year,month,COUNTRY,est,se
2017,08,Argentina,0,2.552550214529603e-7
2017,08,Austria,0,0.30642614219591
2017,08,Belgium,0,0
2017,08,Bolivia,0,0.002001577057874515
2017,08,Brazil,0,0
2017,08,China,0,0
2017,08,Colombia,0,0
2017,08,Cuba,0,0.007182570856181902
2017,08,Ecuador,0,0.014890659966626751
2017,08,France,0,0
2017,08,Germany,0,0
2017,08,Greece,0,1.2306782148918671e-8
2017,08,Honduras,0,0.30295099627129596
2017,08,India,0,7.593259354621296e-12
2017,08,Indonesia,0,6.767725579328587e-4
2017,08,Iran,0,0.5537095332702514
2017,08,Italy,0,0
2017,08,Japan,0,3.5319844821235513e-4
2017,08,Jordan,0,0.09295555392235633
2017,08,Mexico,0,0
2017,08,Mongolia,0,7.130021395546082e-4
2017,08,Morocco,0,0
2017,08,Myanmar,0,0.5229865864415619
2017,08,Netherlands,0,0.009062345864251586
2017,08,Paraguay,0,4.480922854988023e-9
2017,08,Peru,0,0
2017,08,Portugal,0,0
2017,08,Romania,0,0.0017492762158048958
2017,08,Serbia,0,2.151820943652183e-10
2017,08,South Korea,0,0.06656280038305773
2017,08,Spain,0,0
2017,08,Sri Lanka,0,0
2017,08,Sweden,0,0.01569194557946796
2017,08,Switzerland,0,0.24295360415329637
2017,08,Thailand,0,0.33184611637247796
2017,08,United Kingdom,0,0.0010164514590195184
2017,08,United States,0,0
2017,08,Venezuela,0,0.5248522954107471
