year,month,COUNTRY,est,se,iso3
2022,6,Albania,0.000330360092500826,1,ALB
2022,6,Algeria,0.00363396101750908,1,DZA
2022,6,Argentina,0,0.0088359645049505,ARG
2022,6,Austria,0.00925008259002313,1,AUT
2022,6,Azerbaijan,0.000330360092500826,1,AZE
2022,6,Bangladesh,0,4.31729057724928E-05,BGD
2022,6,Belarus,0,9.1159302328947E-12,BLR
2022,6,Belgium,0,0,BEL
2022,6,Bosnia and Herzegovina,0,0.0288198408850875,BIH
2022,6,Brazil,0,1.94751526017001E-09,BRA
2022,6,Bulgaria,0.000660720185001652,1,BGR
2022,6,Canada,0,4.3230616858958E-05,CAN
2022,6,Chile,0,0.000459110823816999,CHL
2022,6,Colombia,0.000330360762054138,4.05346753795666E-06,COL
2022,6,Costa Rica,0,2.19878316365385E-06,CRI
2022,6,Côte d'Ivoire,0,0.169763387220267,CIV
2022,6,Croatia,0.000330360092500826,1,HRV
2022,6,Czechia,0,0.16976406467442,CZE
2022,6,Democratic Republic of the Congo,0.000165559375830908,0.00458239925817017,COD
2022,6,Djibouti,0,0.00168441989063872,DJI
2022,6,Ecuador,0,0.0520487140881926,ECU
2022,6,Egypt,0,6.35974717333454E-10,EGY
2022,6,El Salvador,0.000330497290136569,0.000830249686384899,SLV
2022,6,Ethiopia,0,1.92275961818922E-08,ETH
2022,6,Finland,0,0.169764094032179,FIN
2022,6,France,0.000330360092500826,1,FRA
2022,6,Georgia,0,2.24964193973332E-06,GEO
2022,6,Germany,0.000330360092500826,0,DEU
2022,6,Greece,0.00231252064750578,1,GRC
2022,6,Guatemala,0,0.00025463448190155,GTM
2022,6,Guinea,0,0.0159576329924858,GIN
2022,6,Haiti,0,0.0939994114454458,HTI
2022,6,Honduras,0,0.169728362010337,HND
2022,6,Hungary,0.0105715229600264,1,HUN
2022,6,India,0.000165180046250413,0,IND
2022,6,Indonesia,0,0.000825408872251132,IDN
2022,6,Iran,0.00429468120251074,1,IRN
2022,6,Iraq,0,0.00149999947647406,IRQ
2022,6,Ireland,0,0.0288197847895186,IRL
2022,6,Italy,0.0555004955401388,1,ITA
2022,6,Japan,0,0,JPN
2022,6,Jordan,0.000330360092500826,1,JOR
2022,6,Kazakhstan,0,7.24134475216243E-06,KAZ
2022,6,Kosovo,0,0,SRB
2022,6,Laos,0,1.57735247197088E-07,LAO
2022,6,Latvia,0,0.00270893596425059,LVA
2022,6,Lebanon,0,0.0520487056958683,LBN
2022,6,Lithuania,0.000165180046521404,3.28116145364987E-09,LTU
2022,6,Luxembourg,0,0.00024129756113922,LUX
2022,6,Madagascar,0,0.0520486451819773,MDG
2022,6,Mali,0,0.30659424723436,MLI
2022,6,Mauritania,0,0.0159287834350796,MRT
2022,6,Mexico,0.000330360092500826,1,MEX
2022,6,Morocco,0,0,MAR
2022,6,Mozambique,0,0.30659424723436,MOZ
2022,6,Nepal,0,0.000254651171321951,NPL
2022,6,Netherlands,0.00429468120251074,1,NLD
2022,6,Nicaragua,0,0.0939999619540011,NIC
2022,6,Niger,0.000330360092500826,1,NER
2022,6,Nigeria,0.000330360092500826,1,NGA
2022,6,Norway,0,0.0288029351730406,NOR
2022,6,Oman,0,0.553709533270251,OMN
2022,6,Palestine,0,0.028819712267555,PSE
2022,6,Panama,0,0.30659401837096,PAN
2022,6,Peru,0,0,PER
2022,6,Philippines,0,0.169760598847534,PHL
2022,6,Poland,0,3.36965582534709E-05,POL
2022,6,Portugal,0,0,PRT
2022,6,Romania,0,5.72487501848684E-10,ROU
2022,6,Russia,0.000991080277502478,1,RUS
2022,6,Senegal,0,0.166436820606507,SEN
2022,6,Serbia,0.000165180046250413,0,SRB
2022,6,Slovakia,0,0.00270906403165727,SVK
2022,6,Slovenia,0,0.16976410421004,SVN
2022,6,Somalia,0,0.00883599440104343,SOM
2022,6,South Korea,0.00198216055500496,1,KOR
2022,6,Spain,0.0340270895275851,1,ESP
2022,6,Sri Lanka,0,0.0441489924991083,LKA
2022,6,Sweden,0,0.0288198627888799,SWE
2022,6,Switzerland,0,3.79134501571343E-11,CHE
2022,6,Syria,0.000330360092500826,1,SYR
2022,6,Taiwan,0,0.0159578140719763,TWN
2022,6,Tajikistan,0,0.0288183184392367,TJK
2022,6,Thailand,0,1.55431223447522E-15,THA
2022,6,Togo,0,2.29822303754457E-06,TGO
2022,6,Tunisia,0.000330360092500826,1,TUN
2022,6,Turkey,0,3.56325368100485E-08,TUR
2022,6,Turkmenistan,0,0.30659424723436,TKM
2022,6,Ukraine,0.00165180046250413,1,UKR
2022,6,United Arab Emirates,0,2.48356890608648E-13,ARE
2022,6,United Kingdom,0,0.133547128653654,GBR
2022,6,United States,0,0.000125544590157678,USA
2022,6,Uzbekistan,0.000330360092500826,1,UZB
2022,6,Venezuela,0,3.58146912127211E-08,VEN
2022,6,Vietnam,0,0.000232165740652435,VNM
