year,month,COUNTRY,est,se
2018,03,Algeria,0,0.16613515048239025
2018,03,Argentina,0,3.7140307274086126e-8
2018,03,Austria,0,3.97016791664484e-8
2018,03,Belgium,0,0
2018,03,Bolivia,0,0
2018,03,Brazil,0,0
2018,03,Canada,0,1.8528765854952667e-8
2018,03,Chile,0,4.610177372077473e-7
2018,03,China,0,0
2018,03,Colombia,0,0
2018,03,Costa Rica,0,5.130229574490386e-12
2018,03,Croatia,0,5.473688613477634e-9
2018,03,Denmark,0,0.0016362285716896574
2018,03,Dominican Republic,0,0.040367386123891014
2018,03,France,0,0
2018,03,Germany,0,0
2018,03,Greece,0,0.16948641126798814
2018,03,Hungary,0,0.07458373938933394
2018,03,India,0,0
2018,03,Iran,0,0.027439450425648326
2018,03,Ireland,0,0.007506951860692279
2018,03,Italy,0,0
2018,03,Japan,0,8.839066528426587e-4
2018,03,Kenya,0,0.004347326712602295
2018,03,Mexico,0,0
2018,03,Morocco,0,0.011004897748418063
2018,03,New Zealand,0,0
2018,03,Norway,0,5.551115123125783e-16
2018,03,Pakistan,0,0.037768240283988175
2018,03,Paraguay,0,0.24329120323128894
2018,03,Peru,0,0.3065942472343597
2018,03,Portugal,0,0
2018,03,Russia,0,1.1753931161706532e-11
2018,03,Solomon Islands,0,5.713642691941301e-4
2018,03,South Africa,0,0.46169651127268074
2018,03,South Korea,0,3.4996006093024334e-11
2018,03,Spain,0,0
2018,03,Taiwan,0,0.0035473547046479537
2018,03,United Arab Emirates,0,0
2018,03,United Kingdom,0,0
2018,03,United States,0,0
2018,03,Venezuela,0,0.5537095332702514
