year,month,COUNTRY,est,se,iso3
2015,8,Algeria,0,5.07859366782881E-08,DZA
2015,8,Argentina,0,1.77635683940025E-15,ARG
2015,8,Austria,0,0.000183261085786812,AUT
2015,8,Bangladesh,0,0.16866316379703,BGD
2015,8,Belgium,0,5.28910248931425E-13,BEL
2015,8,Bolivia,0,1.11022302462516E-16,BOL
2015,8,Canada,0,0.005550532890229,CAN
2015,8,Colombia,0,0,COL
2015,8,Costa Rica,0,0.00240622855075812,CRI
2015,8,Croatia,0,0,HRV
2015,8,Czechia,0,0,CZE
2015,8,Dominican Republic,0,0,DOM
2015,8,Ecuador,0,0.30659424723436,ECU
2015,8,El Salvador,0,0.000592621541107841,SLV
2015,8,France,0,0,FRA
2015,8,Georgia,0,1.08354769601249E-10,GEO
2015,8,Germany,0,0,DEU
2015,8,Greece,0,0,GRC
2015,8,Guatemala,0,3.36532493323549E-05,GTM
2015,8,Haiti,0,1.2396117304303E-05,HTI
2015,8,Honduras,0,0.0408427000495755,HND
2015,8,Hungary,0,0.0309598496870807,HUN
2015,8,India,0,0,IND
2015,8,Indonesia,0,0,IDN
2015,8,Iran,0,0.306579182045241,IRN
2015,8,Italy,0,0,ITA
2015,8,Japan,0,1.3988810110277E-14,JPN
2015,8,Jordan,0,0.553709533270251,JOR
2015,8,Mali,0,0.553709533270251,MLI
2015,8,Malta,0,8.38994728643572E-05,MLT
2015,8,Mexico,0,0,MEX
2015,8,Morocco,0,0,MAR
2015,8,Myanmar,0,0,MMR
2015,8,Netherlands,0,0,NLD
2015,8,Nicaragua,0,0,NIC
2015,8,Norway,0,6.68002209103236E-10,NOR
2015,8,Pakistan,0,0.306594179006929,PAK
2015,8,Panama,0,0.553709533270251,PAN
2015,8,Paraguay,0,0.000115602555380234,PRY
2015,8,Peru,0,8.43961678320682E-10,PER
2015,8,Portugal,0,0,PRT
2015,8,Romania,0,0.550273994142078,ROU
2015,8,Russia,0,0.0394330487233601,RUS
2015,8,Slovakia,0,0.169673676245389,SVK
2015,8,Slovenia,0,0.000571326434170794,SVN
2015,8,Spain,0,0,ESP
2015,8,Sweden,0,0.159567866016977,SWE
2015,8,Switzerland,0,2.13376161184442E-09,CHE
2015,8,Thailand,0,5.26822533768456E-05,THA
2015,8,United Kingdom,0,0,GBR
2015,8,United States,0,0,USA
2015,8,Venezuela,0,3.46078721236154E-12,VEN
