year,month,COUNTRY,est,se
2019,09,Algeria,0,0.5537095332702514
2019,09,Argentina,0,0
2019,09,Austria,0,0
2019,09,Belgium,0,0
2019,09,Brazil,0,0
2019,09,Bulgaria,0,8.622436098448816e-12
2019,09,Canada,0,0
2019,09,Chile,0,0
2019,09,China,0,0
2019,09,Colombia,0,0
2019,09,Czechia,0,3.8892383414979026e-4
2019,09,Denmark,0,0.1963618708017706
2019,09,Ecuador,0,0
2019,09,Egypt,0,0.41133230790442166
2019,09,Ethiopia,0,0.0016856790307115954
2019,09,France,0,0
2019,09,Georgia,0,0.0010650398081653023
2019,09,Germany,0,0
2019,09,Greece,0,0.30618280402024667
2019,09,Honduras,0,0.004611127023308903
2019,09,Hungary,0,0
2019,09,India,0,0
2019,09,Indonesia,0,0
2019,09,Iran,0,0.051714055576894236
2019,09,Italy,0,0
2019,09,Japan,0,5.6179172425174784e-11
2019,09,Kazakhstan,0,0.0020080257398663592
2019,09,Lebanon,0,0
2019,09,Lithuania,0,0
2019,09,Madagascar,0,5.669033252614364e-4
2019,09,Malaysia,0,0.5537095332702514
2019,09,Malta,0,0.15252440009965584
2019,09,Mexico,0,0
2019,09,Morocco,0,0.3725017704243023
2019,09,Nepal,0,0.042308613108506976
2019,09,Netherlands,0,0
2019,09,New Zealand,0,0.16404604751258522
2019,09,Norway,0,9.572454272566144e-5
2019,09,Palestine,0,0
2019,09,Panama,0,0
2019,09,Poland,0,0.0561474689453042
2019,09,Portugal,0,0
2019,09,Romania,0,5.786555597131482e-6
2019,09,Russia,0,0
2019,09,Saudi Arabia,0,0.11159324524408931
2019,09,Serbia,0,0
2019,09,Slovenia,0,1.1160858714998056e-7
2019,09,Spain,0,0
2019,09,Sudan,0,0.5537095332702514
2019,09,Sweden,0,2.507616336799856e-10
2019,09,Switzerland,0,0
2019,09,Thailand,0,0
2019,09,Tunisia,0,0.5519779104060724
2019,09,Turkey,0,2.281508328474402e-4
2019,09,Uganda,0,0.539784676571671
2019,09,United Kingdom,0,0
2019,09,United States,0,0
