year,month,COUNTRY,est,se,iso3
2017,10,Argentina,0,0,ARG
2017,10,Australia,0,0,AUS
2017,10,Belgium,0,2.22591840615127E-05,BEL
2017,10,Bolivia,0,1.23938635010479E-06,BOL
2017,10,Brazil,0,1.71514025204544E-09,BRA
2017,10,Bulgaria,0,0.000365509807754405,BGR
2017,10,Canada,0,0.00614372353335857,CAN
2017,10,China,0,0,CHN
2017,10,Colombia,0,0,COL
2017,10,Costa Rica,0,0.0142526091157048,CRI
2017,10,Croatia,0,0.00171392836026996,HRV
2017,10,Dominican Republic,0,0.553709533270251,DOM
2017,10,Ecuador,0,0.357488154647124,ECU
2017,10,Egypt,0,0.0128268169285209,EGY
2017,10,El Salvador,0,4.30726870837006E-08,SLV
2017,10,France,0,0,FRA
2017,10,Germany,0,0,DEU
2017,10,Greece,0,2.22044604925031E-16,GRC
2017,10,India,0,1.05772793967951E-06,IND
2017,10,Ireland,0,0.0490984016970138,IRL
2017,10,Italy,0,0,ITA
2017,10,Japan,0,0.2129545784007,JPN
2017,10,Jordan,0,0.0140009280564565,JOR
2017,10,Mexico,0,0,MEX
2017,10,Morocco,0,0.000660132340279063,MAR
2017,10,Nepal,0,0.420958707303517,NPL
2017,10,Netherlands,0,0.000809267277933068,NLD
2017,10,Panama,0,0.44620384755663,PAN
2017,10,Paraguay,0,0,PRY
2017,10,Peru,0,0.000116648980223788,PER
2017,10,Poland,0,0.0511656929351786,POL
2017,10,Portugal,0,1.48997019833175E-07,PRT
2017,10,Republic of the Congo,0,0.400705954741,COD
2017,10,Serbia,0,0,SRB
2017,10,South Korea,0,0.14507621560035,KOR
2017,10,Spain,0,0,ESP
2017,10,Switzerland,0,0.0816922509318994,CHE
2017,10,Turkey,0,0.0221096057689786,TUR
2017,10,United Kingdom,0,0,GBR
2017,10,United States,0,0,USA
2017,10,Uruguay,0,0.0508255339170316,URY
2017,10,Venezuela,0,0.00441777072397731,VEN
2017,10,Vietnam,0,0,VNM
